bed,bath,acre_lot,city,house_size,price
3.0,2.0,0.75,Raymond,1114.0,259900.0
4.0,3.0,1.07,Essex,2658.0,799000.0
3.0,2.0,0.23,Wilton,1248.0,609500.0
3.0,2.0,0.32,Framingham,2194.0,599900.0
3.0,2.0,0.2,Reading,1532.0,649900.0
3.0,2.0,0.15,Hartford,1008.0,198000.0
2.0,1.0,0.44,East Brookfield,1200.0,285000.0
5.0,4.0,3.52,New Milford,3690.0,775000.0
3.0,2.0,0.09,Barrington,1622.0,479900.0
1.0,1.0,0.61,Salem,688.0,345000.0
4.0,2.0,0.1,Milford,1828.0,389900.0
2.0,1.0,0.02,Boston,914.0,639000.0
6.0,3.0,0.33,Medford,3236.0,1179000.0
3.0,2.0,0.04,Bridgeport,1124.0,275000.0
3.0,2.0,0.16,East Windsor,1320.0,214900.0
2.0,2.0,5.67,Monmouth,1498.0,289000.0
4.0,3.0,0.38,Tewksbury,2168.0,799900.0
7.0,3.0,0.31,Lincoln,5218.0,449900.0
4.0,3.0,1.0,Plainville,2682.0,400000.0
5.0,2.0,0.07,Providence,988.0,274900.0
4.0,1.0,0.3,Norwalk,1080.0,399900.0
3.0,2.0,0.7,Woodstock,1414.0,349900.0
1.0,1.0,0.29,East Haddam,1327.0,164900.0
4.0,2.0,0.93,Clarksburg,1404.0,249900.0
6.0,3.0,2.56,Vernon,3108.0,515000.0
4.0,3.0,2.02,Weston,2388.0,525000.0
3.0,2.0,0.22,Pawtucket,1316.0,389900.0
2.0,2.0,0.03,Boston,1328.0,1299000.0
4.0,3.0,0.46,Danbury,1544.0,329000.0
3.0,3.0,0.7,Nashua,1984.0,475000.0
5.0,5.0,0.25,Fairfield,4200.0,2499000.0
3.0,3.0,0.06,Providence,1394.0,240000.0
3.0,2.0,1.17,New Milford,2242.0,395000.0
3.0,2.0,0.22,Fairfield,1306.0,650000.0
3.0,1.0,0.06,Middletown,1209.0,100000.0
3.0,3.0,0.03,Boston,1464.0,989000.0
6.0,3.0,0.15,Springfield,3696.0,250000.0
3.0,2.0,1.59,Redding,1488.0,499000.0
5.0,4.0,1.82,Madison,3318.0,690000.0
3.0,2.0,0.48,Worcester,1208.0,429999.0
5.0,4.0,0.8,West Hartford,3424.0,749900.0
3.0,2.0,0.29,West Rutland,1584.0,269900.0
3.0,2.0,0.13,Waterbury,1152.0,249900.0
2.0,1.0,0.92,Saco,907.0,210000.0
3.0,2.0,0.43,Hamden,1651.0,325000.0
6.0,4.0,0.12,Meriden,2621.0,259000.0
3.0,3.0,2.14,Hamden,1478.0,349900.0
3.0,3.0,0.51,Hamden,1588.0,260000.0
2.0,2.0,0.02,Boston,812.0,1095000.0
4.0,2.0,3.8,Killingly,1748.0,275000.0
5.0,3.0,0.09,Ludlow,2018.0,595000.0
3.0,2.0,0.25,Ansonia,1000.0,375000.0
5.0,5.0,0.25,Westport,2756.0,1599000.0
3.0,3.0,66.0,East Falmouth,2492.0,699900.0
3.0,2.0,0.11,West Haven,960.0,150000.0
4.0,3.0,0.73,Simsbury,2962.0,624900.0
5.0,3.0,2.2,Plaistow,3738.0,799000.0
8.0,3.0,0.11,West Warwick,4569.0,369900.0
4.0,3.0,1.57,Campton,2400.0,479000.0
3.0,3.0,0.08,Peabody,1719.0,525000.0
3.0,1.0,0.22,Montpelier,1561.0,215000.0
4.0,3.0,1.2,Suffield,3590.0,749999.0
2.0,1.0,0.86,Cheshire,1066.0,279900.0
